Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5059221658,0.4858299595,0.4299781182,0.4079168064,0.3832684825,0.01861019982,0.01861561119,0.0180523918,0.01801038535,0.01756689792,0.01732954545,0.01750735128,0.0178385145,0.01699744547,0.01990811639,0.02049180328,0.02039390089,0.02146977142,0.01781691583,0.01481184948,0.0125188537,0.01861074705,0.02392050587,0.03026866713,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,14.81831231,14.34110517,13.13126097,14.5194307,17.28191679,17.01168075,16.47778437,17.24622495,17.30051807,17.5171746,18.98273826,12.48432533,12.79102746,12.32410161,12.00163867,12.51462733,13.14760346,13.26675774,12.31436562,12.58067227,12.5398519,12.76740922,10.9966647,9.848158101,9.779183817,10.01818115,10.96771785,12.2160012,12.64283066,11.23504413,10.50683152,11.44093457,11.60227507,12.52595335,13.57667292,13.70013094,13.41847337,11.92210347,12.65868857,14.61284288,13.32827788
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,26.82060011,33.48449898
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,15.77814996,16.98889751,18.66181267,21.13663981,21.22480227,22.64483377,24.72980793,26.36817949,25.56591451,24.61274525,24.92139129,24.72359273,24.50260633,25.1707929,25.36335885,24.41206977,24.78320532,25.33082128,24.10157743,21.21767494,23.26858744,30.21140637,28.12304291,24.11907557,24.20726222,23.09931573,22.81913416,23.419999,24.21027647,22.68300088,21.19137085,21.08939511,20.13533973,19.66274073,20.59056053,21.00615011,20.80517097,20.95319756,21.28386731,22.96501292,22.2582979
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384502,6.250877905,5.060402948,5.191280189,5.242278337,4.805339338,6.621196764,6.180293498,5.84568088,6.069629991,6.50749232,7.547056779,9.122534372,9.83116886,10.01699597,8.607741802,7.882624763,9.050671746,7.944159492
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41086377,31.54344388,28.78565044,25.91874552,24.51541204,22.7161642,22.02511409,21.97825708,20.53748631,18.84530872,17.70835362,17.15361957,16.83705384,16.7943836,17.9558664,18.2267896,18.76680189,19.56515781,19.99018136,19.78021442,19.84999447,19.02214885,18.42947925,18.38934744,19.2644408,17.66405926
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5170557479,0.4419531553,0.3858872459,0.419117893,0.4147419979,0.380576808,0.3535223383,0.3687966839,0.4069179639,0.4189289333,0.466508602,0.4905608272,0.6011644539,0.5855589843,0.537623493,0.5134201097,0.5219996484,0.5595385125,0.5463678828,0.5226332484,0.5594427697,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,14.66074799,14.29596643,14.63764858,13.91268724,13.77602589,12.36166942,7.776332216,7.988580901,7.44353099,7.141218757,7.165404914,5.670755189,4.750529199,5.076402565,5.980061694,6.738826901,7.315698345,8.068607032,9.621176194,10.27552303,10.53415581,11.08920873,10.38169503,12.27688242,9.225814936,9.263665931,10.22708067,10.3811832,10.4663908,9.882657415,11.24122359,9.80442898,8.742362185,9.399810937,9.463215788,9.080316562,8.150774847,7.161041566,6.988728574,6.837150741,6.207889487,7.818816382,7.09220148,5.45684335,4.973142957,5.000402791,5.256698344,5.9204327,5.82569395,5.45755652,4.531202712,4.804111077,5.576401414,5.095847378
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,0.5401882942,0.5450882806,0.4851568777,0.6290674808,0.5472231781,0.4906024573,0.5483067647,0.6403664579,0.7306005817,0.8424715104,0.925826535,1.184524144,1.143229342,1.197735192,1.193025792,1.058428475,1.297768008,1.378621078,1.480901077,1.830425017,1.787068305,1.792431872,2.004021865,2.180890491,2.333245197,2.262650093,2.238200162,2.203322589,1.927683933,1.665361909,1.395409874,1.094244002,0.9766711677,0.8273054641,1.036886889,0.7634197885,0.6719220709,0.6279439932,0.6331724951,0.6287160042,0.723671593,0.7508629122,0.7617576017,0.7114639998,0.746712201,0.9638907128,0.9140259418
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,4.537878897,5.318555997,6.12846695,7.131541047
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.99426012,13.94231166,11.52561074,11.34980516,11.33747747
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,4.970872496,4.494591494,3.57760157,3.070102067,2.958127773,2.699248208,2.679306905,2.037322575,2.12784596,1.871292967,1.90907866,1.767733298,1.706301622,1.780633096,1.779934031,1.802590389,1.745364956,1.576539781,1.643078029,1.615363486,1.719024634,1.666480089,1.667681777,1.59689853,1.613380836,1.730920535,1.748065754,1.609973946,1.756335988,1.652115213,1.6058909,1.547636104,1.491637243,1.633408459,1.933181839,1.898847481,2.017298294,1.655760636,1.612326721,1.56801881,1.793598652,1.735911717,1.733408833,2.214197678,2.16286845
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.194135031,3.171618433,3.043310835,3.253233086,3.33846955,3.010213549,3.37947698,3.229984837,3.029089305,3.049946249,3.112842817,3.499666146,3.946780171,2.888273738,3.062689609,2.886933657,2.732294595,2.206960683,2.342613724,2.300634048,2.204265742,2.29166182,2.267533943,2.285652178,2.220884938,2.375955227,2.404530092,2.703220554,2.458110261,2.116188477,2.012103234,2.30660266
