Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.9821363404,0.9378150515,0.9025993976,0.904580639,0.9063395987,0.9263392894,0.9368685996,0.9576684958,0.958016911,0.8967620626,0.8862536825,0.9542432069,0.9561643992,0.9828783794,1.027664376,1.002857151,0.9913345388,1.00782239,1.047526258,0.9853350768,1.011806718,0.9701875227,0.9835472392,0.9956649106,1.00693765,0.9567036631,0.9385647177,0.9285079914,0.9080935176,0.9037641106
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.2225381391,0.2075351644,0.1152815861,0.09568858649,0.083465136,0.07552266557,0.06897924455,0.06183659522,0.05623709386,0.04204985899,0.03888864043,0.0370772332,0.04904701978,0.05387471958,0.04373013527,0.06349546617,0.06917438448,0.06833105869,0.134709696,0.1781977509,0.2522200377,0.3053079549,0.2652095086,0.189910278,0.1491615354,0.1762780152,0.1530190702,0.1341061121,0.1654546818,0.1609764515
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.473668662,0.5254180756,0.5631175334,0.5187704161,0.4668208305,0.4973124166,0.5595291512,0.5449990775,0.5104739127,0.5069157509,0.5257186387,0.5392551151,0.4971357911,0.5153630181,0.5011862608,0.5011864332,0.4672922277,0.4353004092,0.449221636,0.4234646193,0.4644189176,0.4687177634,0.4722424116,0.4992193301,0.5069177084,0.4854775513,0.4908065997,0.4748819778,0.47830457,0.4858838963
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.5545862508,0.5454385919,0.5446266525,0.7109838959,0.8393978591,0.9143019466,1.073463414,1.086668102,1.091309196,1.109588184,0.9881626652,0.9420605047,0.8957453227,0.9247232384,0.9296193362,0.8128134155,0.8213332116,0.811585642,0.8888265511,0.9396794897,0.9758525383,0.9839602465,0.9476625426,1.031093319,1.092215832,1.125224458,1.020760058,0.8027507903,0.7661430221,0.7792025751
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.819541634,1.24281022,0.6836998262,0.6383070362,0.6453551885,0.6054362529,0.6123673585,0.4669214724,0.5721536952,0.9553593084,1.026213109,1.055495882,1.232378783,1.338984981,1.404058688,1.338209399,1.339995739,1.39393137,1.384311249,1.441493562,1.527623663,1.66942319,1.50324046,1.533630039,1.668337371,1.60377515,1.557664358,1.788786074,1.782738948,1.69224832
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.6536803,7.396182848,7.157446363,6.930826966,6.717237086,6.833206204,7.015137107,7.266318296,7.516951493,7.767877542,7.867225441,7.667354763,7.480697983,7.171174197,7.279061032,7.265802913,6.856060282,6.908198002,7.100125192,7.041108987,7.270794907,6.943755715,6.900145178,6.725797487,6.42269737,6.550887838,6.479183882,6.365372358,6.532201212,6.549388942
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.815685311,2.765204092,2.92858067,3.070173974,3.16764666,3.185229118,3.220526545,3.299450289,3.242682871,3.212623795,3.271692877,3.376558933,3.415743553,3.443733008,3.551750704,3.707599951,3.808299414,3.861106093,4.062116813,4.090869403,4.230679751,4.229551929,4.426554863,4.404144395,4.452992882,4.472560646,4.429537448,4.386718652,4.246680843,4.272608461
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,29.05558558,30.65152414,28.21053089,28.6153276,30.39041246,30.8834719,30.52393659,29.65639872,28.56771181,27.66045436,25.86912537,28.13967236,27.28657551,27.22474145,27.54837547,27.20396858,24.81345968,22.44822788,22.32895073,19.64556463,19.19292484,19.31149239,20.26435367,21.07783662,20.91002932,21.89550487,22.35647344,21.72844747,19.37819696,20.50228321
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.073750055,3.199442949,3.21523724,3.240345088,3.244831292,3.230402468,3.462905039,3.5213341,3.661559517,3.669819285,3.56803988,3.342005133,3.100697226,3.335060785,3.656178095,3.736578794,3.923818389,4.082895585,4.15233041,3.848409856,4.099689714,4.280989353,4.264223782,4.342115069,4.209095633,4.301913876,4.201845776,4.071308362,3.975771971,3.740650291
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.581268756,5.71921238,3.049330616,1.457764316,0.8121615561,1.056343751,0.7820793489,1.020963998,1.070805882,0.9700470676,1.123551888,1.149009633,1.004818907,1.13485222,1.226455557,1.463616668,1.483568657,1.730798803,1.907206545,1.521440581,1.473037526,1.686596291,1.962653917,1.89564639,1.896239708,1.855071711,1.769117961,1.882939997,2.013003806,2.187476318
